puzzle_id,answer,seed,puzzle_source,player_model,runs,mean_score,median_score,score_std_dev,p10_score,p25_score,p75_score,p90_score,gold_rate,silver_rate,bronze_rate,no_medal_rate,hexalink_rate,mean_hexalink_turn,completion_rate,mean_turns_used,mean_rows_completed,mean_columns_completed,mean_invalid_attempts,mean_hint_use,mean_valid_words,simulation_ms
AFTERTASTE#2,AFTERTASTE,910009,M7A3_EXISTING_M6_GRID,CASUAL,100,86.16,85,12.63770213098549,72,77,95,103,0.16,0.78,0.06,0,0.47,1.7446808510638299,1,6,0.13,0.02,0.23,0.2,5.77,125.392144
AFTERTASTE#2,AFTERTASTE,910009,M7A3_EXISTING_M6_GRID,REGULAR,100,113.57,112,10.841609892008892,100,107,120,127,0.92,0.08,0,0,0.79,1.3544303797468353,1,6,0.65,0.08,0.08,0.29,5.92,262.469291
AFTERTASTE#2,AFTERTASTE,910009,M7A3_EXISTING_M6_GRID,STRONG,100,121.85,122,8.20245713370713,110,115,127,130,1,0,0,0,0.94,1.2446808510638299,1,6,0.8,0.07,0.05,0.54,5.95,405.043694
AFTERTASTE#2,AFTERTASTE,910009,M7A3_EXISTING_M6_GRID,EXPERT,100,127.79,127,8.046951866603548,120,125,130,140,0.99,0.01,0,0,1,1.01,1,6,0.91,0.16,0.02,0.64,5.98,618.769088
AFTERTASTE#2,AFTERTASTE,910009,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
AFFORDABLE#2,AFFORDABLE,910010,M7A3_EXISTING_M6_GRID,CASUAL,100,90.86,90,12.565802558507514,75,83,98,105,0.23,0.73,0.04,0,0.62,2.0806451612903225,1,6,0.14,0.04,0.35,0.19,5.65,157.084168
AFFORDABLE#2,AFFORDABLE,910010,M7A3_EXISTING_M6_GRID,REGULAR,100,117.07,117,12.569206398772733,100,110,125,132,0.92,0.08,0,0,0.88,1.5909090909090908,1,6,0.64,0.13,0.11,0.26,5.89,322.963231
AFFORDABLE#2,AFFORDABLE,910010,M7A3_EXISTING_M6_GRID,STRONG,100,125.74,125,9.395485698735937,115,120,130,135,1,0,0,0,0.99,1.2828282828282829,1,6,0.96,0.08,0.06,0.44,5.94,549.519641
AFFORDABLE#2,AFFORDABLE,910010,M7A3_EXISTING_M6_GRID,EXPERT,100,129.92,130,8.579609371626251,120,125,135,143,1,0,0,0,1,1.01,1,6,1.06,0.19,0.01,0.64,5.99,952.482245
AFFORDABLE#2,AFFORDABLE,910010,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
WATERMELON#3,WATERMELON,1010001,M7A3_EXISTING_M6_GRID,CASUAL,100,83.57,83,11.190052400559738,67,77,90,98,0.08,0.8,0.12,0,0.04,1.5,1,6,0.03,0.12,0.23,0.18,5.77,140.305442
WATERMELON#3,WATERMELON,1010001,M7A3_EXISTING_M6_GRID,REGULAR,100,103.85,102,10.813735186644289,90,97,112,120,0.68,0.32,0,0,0,0,1,6,0.43,0.15,0.1,0.42,5.9,304.925469
WATERMELON#3,WATERMELON,1010001,M7A3_EXISTING_M6_GRID,STRONG,100,113.33,112,11.110150968616697,100,105,120,127,0.95,0.05,0,0,0,0,1,6,0.5,0.34,0.03,0.51,5.97,503.835708
WATERMELON#3,WATERMELON,1010001,M7A3_EXISTING_M6_GRID,EXPERT,100,119.36,118,11.320420451198762,105,110,127,134,1,0,0,0,0,0,1,6,0.68,0.38,0.01,0.68,5.98,786.96153
WATERMELON#3,WATERMELON,1010001,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
OSCILLATED#3,OSCILLATED,1010002,M7A3_EXISTING_M6_GRID,CASUAL,100,81.76,80,11.801489376987613,68,73,89,97,0.07,0.78,0.15,0,0.3,2.1333333333333333,1,6,0.13,0.04,0.31,0.17,5.69,136.368425
OSCILLATED#3,OSCILLATED,1010002,M7A3_EXISTING_M6_GRID,REGULAR,100,100.56,100,9.608834318984638,90,95,107,112,0.62,0.38,0,0,0.03,2,1,6,0.46,0.07,0.12,0.39,5.88,286.964458
OSCILLATED#3,OSCILLATED,1010002,M7A3_EXISTING_M6_GRID,STRONG,100,110.13,110,8.81190081421687,100,105,115,122,0.96,0.04,0,0,0,0,1,6,0.69,0.06,0.02,0.65,5.98,484.353946
OSCILLATED#3,OSCILLATED,1010002,M7A3_EXISTING_M6_GRID,EXPERT,100,115.53,115,9.334907875844573,105,110,122,129,1,0,0,0,0,0,1,6,0.96,0.15,0.01,0.74,5.99,764.507412
OSCILLATED#3,OSCILLATED,1010002,M7A3_EXISTING_M6_GRID,ORACLE,1,105,105,0,105,105,105,105,1,0,0,0,1,1,0,5,0,0,0,0,5,0
ABANDONING#3,ABANDONING,1010003,M7A3_EXISTING_M6_GRID,CASUAL,100,92.31,92,14.242272404090688,74,82,100,110,0.27,0.68,0.05,0,0.51,1.7843137254901962,1,6,0.33,0.05,0.29,0.28,5.71,153.053008
ABANDONING#3,ABANDONING,1010003,M7A3_EXISTING_M6_GRID,REGULAR,100,119.02,120,12.57460965918259,100,110,125,135,0.95,0.05,0,0,0.83,1.3614457831325302,1,6,0.82,0.14,0.09,0.45,5.91,314.116443
ABANDONING#3,ABANDONING,1010003,M7A3_EXISTING_M6_GRID,STRONG,100,127.4,127,10.39036072326635,115,120,133,137,0.98,0.02,0,0,0.95,1.2,1,6,1.05,0.16,0.05,0.53,5.95,529.369024
ABANDONING#3,ABANDONING,1010003,M7A3_EXISTING_M6_GRID,EXPERT,100,136.13,135,7.390486650369712,128,130,140,145,1,0,0,0,1,1.02,1,6,1.48,0.12,0.01,0.62,5.99,748.115815
ABANDONING#3,ABANDONING,1010003,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
