puzzle,answer,player_model,accessibility_system,runs,mean_score,median_score,gold_rate,silver_rate,bronze_rate,hexalink_rate,mean_played_word_familiarity,rare_word_dependency,mean_known_moves,mean_noticed_moves,gold_games,mean_gold_word_familiarity,median_gold_word_familiarity,least_familiar_word,gold_familiar_only_50,gold_low_dependency_25,gold_low_dependency_50,gold_low_dependency_75,gold_multiple_low_50,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
AFFORDABLE,AFFORDABLE,REGULAR,M8_HEURISTIC_BASELINE,500,119.59,120,0.946,0.054,0,0.908,0.5700775195113661,0.2854122621564482,21.160666666666668,22.234666666666666,473,0.5693733582887689,0.5436000000000001,obsequious,0.7145877378435518,0,0.2854122621564482,1,0.03171247357293869,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,AFFORDABLE,STRONG,M8_HEURISTIC_BASELINE,500,127.434,127,0.996,0.004,0,0.992,0.5946582465569316,0.28714859437751006,50.97533333333333,53.311,498,0.5944828330522718,0.5760000000000001,obsequious,0.7128514056224899,0,0.28714859437751006,1,0.02208835341365462,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,AFFORDABLE,EXPERT,M8_HEURISTIC_BASELINE,500,132.03,130,1,0,0,1,0.6148814909638521,0.172,107.50616872290763,109.55251750583528,500,0.6148814909638521,0.5994,obsequious,0.828,0,0.172,1,0.008,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,AFFORDABLE,ORACLE,M8_HEURISTIC_BASELINE,1,110,110,1,0,0,1,,,,,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,WATERMELON,CASUAL,M81_FREQUENCY_MODEL,500,69.752,70,0.032,0.5,0.43,0.484,0.17115621097788686,1,0.04766666666666667,1.6236666666666666,16,0.1644618503524959,0.15171532748182243,carouse,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,WATERMELON,REGULAR,M81_FREQUENCY_MODEL,500,85.084,84,0.108,0.8,0.092,0.26,0.3035663340191709,1,0.22966666666666666,8.280333333333333,54,0.2909099121405104,0.2524005014806449,bonier,0,0.9814814814814815,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,WATERMELON,STRONG,M81_FREQUENCY_MODEL,500,90.644,89,0.216,0.766,0.018,0.1,0.5183383070418082,0.9907407407407407,5.747,28.992,108,0.48591643507196036,0.4866210684126981,zairian,0.009259259259259259,0.09259259259259259,0.9907407407407407,1,0.9537037037037037,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,WATERMELON,EXPERT,M81_FREQUENCY_MODEL,500,101.69,100,0.546,0.454,0,0,0.6262974240297625,0.8168498168498168,47.817,85.68366666666667,273,0.6072593830418588,0.6070521488379135,gaudier,0.18315018315018314,0,0.8168498168498168,1,0.42857142857142855,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,WATERMELON,ORACLE,M81_FREQUENCY_MODEL,1,110,110,1,0,0,1,,,,,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,OSCILLATED,CASUAL,M81_FREQUENCY_MODEL,500,65.23,66,0.006,0.408,0.538,0.402,0.16354973595441624,1,0.042666666666666665,1.6306666666666667,3,0.1347308245468469,0.10514938171370686,lawyered,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,OSCILLATED,REGULAR,M81_FREQUENCY_MODEL,500,80.09,80,0.046,0.798,0.154,0.186,0.2990661681963834,1,0.321,8.231333333333334,23,0.27043632349937347,0.25349052771658204,achoo,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,OSCILLATED,STRONG,M81_FREQUENCY_MODEL,500,86.456,87,0.12,0.83,0.05,0.126,0.5243777834075898,1,6.199666666666666,29.558,60,0.47598444532452755,0.49329339634387614,opaline,0,0.5166666666666667,1,1,0.95,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,OSCILLATED,EXPERT,M81_FREQUENCY_MODEL,500,96.364,95,0.346,0.654,0,0.036,0.644803367612056,0.8323699421965318,49.99766666666667,87.878,173,0.6166058179217285,0.6227631865277482,aerostats,0.1676300578034682,0,0.8323699421965318,1,0.3583815028901734,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,OSCILLATED,ORACLE,M81_FREQUENCY_MODEL,1,105,105,1,0,0,1,,,,,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
